StartDateTime,EndDateTime,EnergyAmountkWh,IoTHubTypeIdentifier
01/01/1970 00:00,01/01/1970 00:05,0,EnergyTelemetry
01/01/1970 00:05,01/01/1970 00:10,0,EnergyTelemetry
01/01/1970 00:10,01/01/1970 00:15,0,EnergyTelemetry
01/01/1970 00:15,01/01/1970 00:20,0,EnergyTelemetry
01/01/1970 00:20,01/01/1970 00:25,0,EnergyTelemetry
01/01/1970 00:25,01/01/1970 00:30,0,EnergyTelemetry
01/01/1970 00:30,01/01/1970 00:35,0,EnergyTelemetry
01/01/1970 00:35,01/01/1970 00:40,0,EnergyTelemetry
01/01/1970 00:40,01/01/1970 00:45,0,EnergyTelemetry
01/01/1970 00:45,01/01/1970 00:50,0,EnergyTelemetry
01/01/1970 00:50,01/01/1970 00:55,0,EnergyTelemetry
01/01/1970 00:55,01/01/1970 01:00,0,EnergyTelemetry
01/01/1970 01:00,01/01/1970 01:05,0,EnergyTelemetry
01/01/1970 01:05,01/01/1970 01:10,0,EnergyTelemetry
01/01/1970 01:10,01/01/1970 01:15,0,EnergyTelemetry
01/01/1970 01:15,01/01/1970 01:20,0,EnergyTelemetry
01/01/1970 01:20,01/01/1970 01:25,0,EnergyTelemetry
01/01/1970 01:25,01/01/1970 01:30,0,EnergyTelemetry
01/01/1970 01:30,01/01/1970 01:35,0,EnergyTelemetry
01/01/1970 01:35,01/01/1970 01:40,0,EnergyTelemetry
01/01/1970 01:40,01/01/1970 01:45,0,EnergyTelemetry
01/01/1970 01:45,01/01/1970 01:50,0,EnergyTelemetry
01/01/1970 01:50,01/01/1970 01:55,0,EnergyTelemetry
01/01/1970 01:55,01/01/1970 02:00,0,EnergyTelemetry
01/01/1970 02:00,01/01/1970 02:05,0,EnergyTelemetry
01/01/1970 02:05,01/01/1970 02:10,0,EnergyTelemetry
01/01/1970 02:10,01/01/1970 02:15,0,EnergyTelemetry
01/01/1970 02:15,01/01/1970 02:20,0,EnergyTelemetry
01/01/1970 02:20,01/01/1970 02:25,0,EnergyTelemetry
01/01/1970 02:25,01/01/1970 02:30,0,EnergyTelemetry
01/01/1970 02:30,01/01/1970 02:35,0,EnergyTelemetry
01/01/1970 02:35,01/01/1970 02:40,0,EnergyTelemetry
01/01/1970 02:40,01/01/1970 02:45,0,EnergyTelemetry
01/01/1970 02:45,01/01/1970 02:50,0,EnergyTelemetry
01/01/1970 02:50,01/01/1970 02:55,0,EnergyTelemetry
01/01/1970 02:55,01/01/1970 03:00,0,EnergyTelemetry
01/01/1970 03:00,01/01/1970 03:05,0,EnergyTelemetry
01/01/1970 03:05,01/01/1970 03:10,0,EnergyTelemetry
01/01/1970 03:10,01/01/1970 03:15,0,EnergyTelemetry
01/01/1970 03:15,01/01/1970 03:20,0,EnergyTelemetry
01/01/1970 03:20,01/01/1970 03:25,0,EnergyTelemetry
01/01/1970 03:25,01/01/1970 03:30,0,EnergyTelemetry
01/01/1970 03:30,01/01/1970 03:35,0,EnergyTelemetry
01/01/1970 03:35,01/01/1970 03:40,0,EnergyTelemetry
01/01/1970 03:40,01/01/1970 03:45,0,EnergyTelemetry
01/01/1970 03:45,01/01/1970 03:50,0,EnergyTelemetry
01/01/1970 03:50,01/01/1970 03:55,0,EnergyTelemetry
01/01/1970 03:55,01/01/1970 04:00,0,EnergyTelemetry
01/01/1970 04:00,01/01/1970 04:05,0,EnergyTelemetry
01/01/1970 04:05,01/01/1970 04:10,0,EnergyTelemetry
01/01/1970 04:10,01/01/1970 04:15,0,EnergyTelemetry
01/01/1970 04:15,01/01/1970 04:20,0,EnergyTelemetry
01/01/1970 04:20,01/01/1970 04:25,0,EnergyTelemetry
01/01/1970 04:25,01/01/1970 04:30,0,EnergyTelemetry
01/01/1970 04:30,01/01/1970 04:35,0,EnergyTelemetry
01/01/1970 04:35,01/01/1970 04:40,0,EnergyTelemetry
01/01/1970 04:40,01/01/1970 04:45,0,EnergyTelemetry
01/01/1970 04:45,01/01/1970 04:50,0,EnergyTelemetry
01/01/1970 04:50,01/01/1970 04:55,0,EnergyTelemetry
01/01/1970 04:55,01/01/1970 05:00,0,EnergyTelemetry
01/01/1970 05:00,01/01/1970 05:05,0,EnergyTelemetry
01/01/1970 05:05,01/01/1970 05:10,0,EnergyTelemetry
01/01/1970 05:10,01/01/1970 05:15,0,EnergyTelemetry
01/01/1970 05:15,01/01/1970 05:20,0,EnergyTelemetry
01/01/1970 05:20,01/01/1970 05:25,0,EnergyTelemetry
01/01/1970 05:25,01/01/1970 05:30,0,EnergyTelemetry
01/01/1970 05:30,01/01/1970 05:35,0,EnergyTelemetry
01/01/1970 05:35,01/01/1970 05:40,0,EnergyTelemetry
01/01/1970 05:40,01/01/1970 05:45,0,EnergyTelemetry
01/01/1970 05:45,01/01/1970 05:50,0,EnergyTelemetry
01/01/1970 05:50,01/01/1970 05:55,0,EnergyTelemetry
01/01/1970 05:55,01/01/1970 06:00,0,EnergyTelemetry
01/01/1970 06:00,01/01/1970 06:05,0,EnergyTelemetry
01/01/1970 06:05,01/01/1970 06:10,0,EnergyTelemetry
01/01/1970 06:10,01/01/1970 06:15,0,EnergyTelemetry
01/01/1970 06:15,01/01/1970 06:20,0,EnergyTelemetry
01/01/1970 06:20,01/01/1970 06:25,0,EnergyTelemetry
01/01/1970 06:25,01/01/1970 06:30,0,EnergyTelemetry
01/01/1970 06:30,01/01/1970 06:35,0,EnergyTelemetry
01/01/1970 06:35,01/01/1970 06:40,0,EnergyTelemetry
01/01/1970 06:40,01/01/1970 06:45,0,EnergyTelemetry
01/01/1970 06:45,01/01/1970 06:50,0,EnergyTelemetry
01/01/1970 06:50,01/01/1970 06:55,0,EnergyTelemetry
01/01/1970 06:55,01/01/1970 07:00,0,EnergyTelemetry
01/01/1970 07:00,01/01/1970 07:05,0,EnergyTelemetry
01/01/1970 07:05,01/01/1970 07:10,0.3,EnergyTelemetry
01/01/1970 07:10,01/01/1970 07:15,0.3018,EnergyTelemetry
01/01/1970 07:15,01/01/1970 07:20,0.3054216,EnergyTelemetry
01/01/1970 07:20,01/01/1970 07:25,0.309086659,EnergyTelemetry
01/01/1970 07:25,01/01/1970 07:30,0.312795699,EnergyTelemetry
01/01/1970 07:30,01/01/1970 07:35,0.316549247,EnergyTelemetry
01/01/1970 07:35,01/01/1970 07:40,0.320347838,EnergyTelemetry
