StartDateTime,EndDateTime,EnergyAmountkWh,IoTHubTypeIdentifier
01/01/1970 00:00,01/01/1970 00:09,0,EnergyTelemetry
01/01/1970 00:09,01/01/1970 00:14,0,EnergyTelemetry
01/01/1970 00:14,01/01/1970 00:21,0,EnergyTelemetry
01/01/1970 00:21,01/01/1970 00:28,0,EnergyTelemetry
01/01/1970 00:28,01/01/1970 00:31,0,EnergyTelemetry
01/01/1970 00:31,01/01/1970 00:38,0,EnergyTelemetry
01/01/1970 00:38,01/01/1970 00:43,0,EnergyTelemetry
01/01/1970 00:43,01/01/1970 00:46,0,EnergyTelemetry
01/01/1970 00:46,01/01/1970 00:49,0,EnergyTelemetry
01/01/1970 00:49,01/01/1970 00:54,0,EnergyTelemetry
01/01/1970 00:54,01/01/1970 00:59,0,EnergyTelemetry
01/01/1970 00:59,01/01/1970 01:06,0,EnergyTelemetry
01/01/1970 01:06,01/01/1970 01:09,0,EnergyTelemetry
01/01/1970 01:09,01/01/1970 01:18,0,EnergyTelemetry
01/01/1970 01:18,01/01/1970 01:21,0,EnergyTelemetry
01/01/1970 01:21,01/01/1970 01:26,0,EnergyTelemetry
01/01/1970 01:26,01/01/1970 01:33,0,EnergyTelemetry
01/01/1970 01:33,01/01/1970 01:36,0,EnergyTelemetry
01/01/1970 01:36,01/01/1970 01:41,0,EnergyTelemetry
01/01/1970 01:41,01/01/1970 01:44,0,EnergyTelemetry
01/01/1970 01:44,01/01/1970 01:51,0,EnergyTelemetry
01/01/1970 01:51,01/01/1970 01:56,0,EnergyTelemetry
01/01/1970 01:56,01/01/1970 02:01,0,EnergyTelemetry
01/01/1970 02:01,01/01/1970 02:08,0,EnergyTelemetry
01/01/1970 02:08,01/01/1970 02:13,0,EnergyTelemetry
01/01/1970 02:13,01/01/1970 02:18,0,EnergyTelemetry
01/01/1970 02:18,01/01/1970 02:19,0,EnergyTelemetry
01/01/1970 02:19,01/01/1970 02:28,0,EnergyTelemetry
01/01/1970 02:28,01/01/1970 02:31,0,EnergyTelemetry
01/01/1970 02:31,01/01/1970 02:36,0,EnergyTelemetry
01/01/1970 02:36,01/01/1970 02:39,0,EnergyTelemetry
01/01/1970 02:39,01/01/1970 02:46,0,EnergyTelemetry
01/01/1970 02:46,01/01/1970 02:53,0,EnergyTelemetry
01/01/1970 02:53,01/01/1970 02:54,0,EnergyTelemetry
01/01/1970 02:54,01/01/1970 02:59,0,EnergyTelemetry
01/01/1970 02:59,01/01/1970 03:04,0,EnergyTelemetry
01/01/1970 03:04,01/01/1970 03:11,0,EnergyTelemetry
01/01/1970 03:11,01/01/1970 03:18,0,EnergyTelemetry
01/01/1970 03:18,01/01/1970 03:23,0,EnergyTelemetry
01/01/1970 03:23,01/01/1970 03:26,0,EnergyTelemetry
01/01/1970 03:26,01/01/1970 03:31,0,EnergyTelemetry
01/01/1970 03:31,01/01/1970 03:36,0,EnergyTelemetry
01/01/1970 03:36,01/01/1970 03:43,0,EnergyTelemetry
01/01/1970 03:43,01/01/1970 03:48,0,EnergyTelemetry
01/01/1970 03:48,01/01/1970 03:51,0,EnergyTelemetry
01/01/1970 03:51,01/01/1970 03:56,0,EnergyTelemetry
01/01/1970 03:56,01/01/1970 03:59,0,EnergyTelemetry
01/01/1970 03:59,01/01/1970 04:08,0,EnergyTelemetry
01/01/1970 04:08,01/01/1970 04:09,0,EnergyTelemetry
01/01/1970 04:09,01/01/1970 04:14,0,EnergyTelemetry
01/01/1970 04:14,01/01/1970 04:19,0,EnergyTelemetry
01/01/1970 04:19,01/01/1970 04:24,0,EnergyTelemetry
01/01/1970 04:24,01/01/1970 04:29,0,EnergyTelemetry
01/01/1970 04:29,01/01/1970 04:34,0,EnergyTelemetry
01/01/1970 04:34,01/01/1970 04:41,0,EnergyTelemetry
01/01/1970 04:41,01/01/1970 04:48,0,EnergyTelemetry
01/01/1970 04:48,01/01/1970 04:49,0,EnergyTelemetry
01/01/1970 04:49,01/01/1970 04:58,0,EnergyTelemetry
01/01/1970 04:58,01/01/1970 05:01,0,EnergyTelemetry
01/01/1970 05:01,01/01/1970 05:06,0,EnergyTelemetry
01/01/1970 05:06,01/01/1970 05:09,0,EnergyTelemetry
01/01/1970 05:09,01/01/1970 05:14,0,EnergyTelemetry
01/01/1970 05:14,01/01/1970 05:21,0,EnergyTelemetry
01/01/1970 05:21,01/01/1970 05:26,0,EnergyTelemetry
01/01/1970 05:26,01/01/1970 05:33,0,EnergyTelemetry
01/01/1970 05:33,01/01/1970 05:34,0,EnergyTelemetry
01/01/1970 05:34,01/01/1970 05:43,0,EnergyTelemetry
01/01/1970 05:43,01/01/1970 05:48,0,EnergyTelemetry
01/01/1970 05:48,01/01/1970 05:49,0,EnergyTelemetry
01/01/1970 05:49,01/01/1970 05:58,0,EnergyTelemetry
01/01/1970 05:58,01/01/1970 05:59,0,EnergyTelemetry
01/01/1970 05:59,01/01/1970 06:06,0,EnergyTelemetry
01/01/1970 06:06,01/01/1970 06:13,0,EnergyTelemetry
01/01/1970 06:13,01/01/1970 06:16,0,EnergyTelemetry
01/01/1970 06:16,01/01/1970 06:23,0,EnergyTelemetry
01/01/1970 06:23,01/01/1970 06:26,0,EnergyTelemetry
01/01/1970 06:26,01/01/1970 06:31,0,EnergyTelemetry
01/01/1970 06:31,01/01/1970 06:38,0,EnergyTelemetry
01/01/1970 06:38,01/01/1970 06:41,0,EnergyTelemetry
01/01/1970 06:41,01/01/1970 06:46,0,EnergyTelemetry
