StartDateTime,EndDateTime,EnergyAmountkWh,IoTHubTypeIdentifier
01/01/1970 00:00,01/01/1970 00:05,0.82,EnergyTelemetry
01/01/1970 00:05,01/01/1970 00:10,2.746,EnergyTelemetry
01/01/1970 00:10,01/01/1970 00:15,1.166,EnergyTelemetry
01/01/1970 00:15,01/01/1970 00:20,2.142,EnergyTelemetry
01/01/1970 00:20,01/01/1970 00:25,3.005,EnergyTelemetry
01/01/1970 00:25,01/01/1970 00:30,3.068,EnergyTelemetry
01/01/1970 00:30,01/01/1970 00:35,1.379,EnergyTelemetry
01/01/1970 00:35,01/01/1970 00:40,2.654,EnergyTelemetry
01/01/1970 00:40,01/01/1970 00:45,1.663,EnergyTelemetry
01/01/1970 00:45,01/01/1970 00:50,3.482,EnergyTelemetry
01/01/1970 00:50,01/01/1970 00:55,3.277,EnergyTelemetry
01/01/1970 00:55,01/01/1970 01:00,2.09,EnergyTelemetry
01/01/1970 01:00,01/01/1970 01:05,1.877,EnergyTelemetry
01/01/1970 01:05,01/01/1970 01:10,1.678,EnergyTelemetry
01/01/1970 01:10,01/01/1970 01:15,0.286,EnergyTelemetry
01/01/1970 01:15,01/01/1970 01:20,1.947,EnergyTelemetry
01/01/1970 01:20,01/01/1970 01:25,0.455,EnergyTelemetry
01/01/1970 01:25,01/01/1970 01:30,3.27,EnergyTelemetry
01/01/1970 01:30,01/01/1970 01:35,2.492,EnergyTelemetry
01/01/1970 01:35,01/01/1970 01:40,1.763,EnergyTelemetry
01/01/1970 01:40,01/01/1970 01:45,0.297,EnergyTelemetry
01/01/1970 01:45,01/01/1970 01:50,2.315,EnergyTelemetry
01/01/1970 01:50,01/01/1970 01:55,2.776,EnergyTelemetry
01/01/1970 01:55,01/01/1970 02:00,2.511,EnergyTelemetry
01/01/1970 02:00,01/01/1970 02:05,1.543,EnergyTelemetry
01/01/1970 02:05,01/01/1970 02:10,0.671,EnergyTelemetry
01/01/1970 02:10,01/01/1970 02:15,1.033,EnergyTelemetry
01/01/1970 02:15,01/01/1970 02:20,0.272,EnergyTelemetry
