Timestamp,PowerAmountKW,IoTHubTypeIdentifier
01/01/1970 00:00,6.993,PowerTelemetry
01/01/1970 00:01,7.039,PowerTelemetry
01/01/1970 00:02,4.924,PowerTelemetry
01/01/1970 00:03,7.325,PowerTelemetry
01/01/1970 00:04,8.584,PowerTelemetry
01/01/1970 00:05,6.994,PowerTelemetry
01/01/1970 00:06,6.33,PowerTelemetry
01/01/1970 00:07,0.209,PowerTelemetry
01/01/1970 00:08,3.616,PowerTelemetry
01/01/1970 00:09,3.192,PowerTelemetry
01/01/1970 00:10,8.075,PowerTelemetry
01/01/1970 00:11,7.501,PowerTelemetry
01/01/1970 00:12,1.388,PowerTelemetry
01/01/1970 00:13,4.215,PowerTelemetry
01/01/1970 00:14,7.053,PowerTelemetry
01/01/1970 00:15,7.032,PowerTelemetry
01/01/1970 00:16,9.589,PowerTelemetry
01/01/1970 00:17,7.624,PowerTelemetry
01/01/1970 00:18,9.479,PowerTelemetry
01/01/1970 00:19,0.461,PowerTelemetry
01/01/1970 00:20,1.479,PowerTelemetry
01/01/1970 00:21,6.912,PowerTelemetry
01/01/1970 00:22,5.688,PowerTelemetry
01/01/1970 00:23,4.495,PowerTelemetry
01/01/1970 00:24,7.456,PowerTelemetry
01/01/1970 00:25,1.774,PowerTelemetry
01/01/1970 00:26,3.16,PowerTelemetry
01/01/1970 00:27,5.732,PowerTelemetry
01/01/1970 00:28,8.585,PowerTelemetry
01/01/1970 00:29,9.298,PowerTelemetry
01/01/1970 00:30,5.672,PowerTelemetry
01/01/1970 00:31,6.203,PowerTelemetry
01/01/1970 00:32,7.567,PowerTelemetry
01/01/1970 00:33,5.508,PowerTelemetry
01/01/1970 00:34,5.248,PowerTelemetry
01/01/1970 00:35,0.273,PowerTelemetry
01/01/1970 00:36,4.823,PowerTelemetry
01/01/1970 00:37,6.332,PowerTelemetry
01/01/1970 00:38,6.462,PowerTelemetry
01/01/1970 00:39,2.474,PowerTelemetry
01/01/1970 00:40,5.867,PowerTelemetry
01/01/1970 00:41,3.105,PowerTelemetry
01/01/1970 00:42,7.171,PowerTelemetry
01/01/1970 00:43,2.932,PowerTelemetry
01/01/1970 00:44,9.675,PowerTelemetry
